postComment,postCommentAuthor,postCommentTime
Have lobster today? ,Leonardo Lim,0:16
Good morning,David Koh,0:37
Hello hello,Shuganya Devi,0:42
"WHOLE BATANG 2.8KG $44</div><div dir=""auto"" style=""text-align: start;"">WBT+1",E-Beve,1:01:43
WBT+1 ,Shirley Ang,1:01:46
Thank u ,Shirley Ang,1:02:52
"Tiff Batang full steak cut, about half inch thickness. Thank u ",Shirley Ang,1:04:22
What else u have left? ,Shirley Ang,1:04:44
Hello… Got what fish good to heal injuries ah… like elderly go for surgery,Clement Lim,1:05:22
How much is the ngor he ah? Got fillet kind? ,Clement Lim,1:06:19
Got snapper or salmon? ,Shirley Ang,1:06:21
"I’ll find u soon ah, thanks sis",Clement Lim,1:08:26
Ok salmon take ,Shirley Ang,1:09:10
Red snapper take ,Shirley Ang,1:09:23
"Ok done <span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""✅"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tb4/2/16/2705.png"" width=""16""/></span> ",Shirley Ang,1:10:00
Thank u ,Shirley Ang,1:10:05
Have a good PH.,Veon Veon,1:10:21
Ok,Veon Veon,1:10:46
"I cctv..</div><div dir=""auto"" style=""text-align: start;"">U also know..",马小玲,2:42
"<span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""👋"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t99/2/16/1f44b.png"" width=""16""/></span> ",Helen Lee,2:52
"<span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 k7cz35w2 bsnbvmp4""><img alt=""👌"" height=""32"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/td4/2/32/1f44c.png"" width=""32""/></span>",Helen Lee,3:20
How to preorder??,马小玲,3:40
Whatsapp 88896368,E-Beve,4:08
Noted..,马小玲,4:12
Lns,Lily Koh,5:05
Don’t forget my sotong ,Helen Lee,5:21
"All sister, brother good morning<span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""🙋"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t1b/2/16/1f64b.png"" width=""16""/></span>",Lily Koh,5:40
Stingray reserved for me already? Those items I WhatsApp u all reserved ya? ,Melissa Kang,6:17
Hi guys,Aysha Khamarudin Al Takhi,6:44
Stingray +1,Helen Lee,7:09
Please cut smaller ,Helen Lee,7:57
STINGRAY +1,E-Beve,8:25
"Morning Tiff<span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""👋"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t99/2/16/1f44b.png"" width=""16""/></span><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""👋"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t99/2/16/1f44b.png"" width=""16""/></span>",Pauline Ng,8:56
Wow giant stingray,Pauline Ng,9:32
Morning. Lns,Diana Ng,9:42
"GOL+1 </div><div dir=""auto"" style=""text-align: start;"">Golden pomfret $6",E-Beve,11:00
GOL+1,Helen Lee,11:26
Of course.. u so big size,Min Xuan,11:37
Gol+1,Melissa Kang,11:49
U more big size than me le auntie ,Min Xuan,11:55
All miy orders in?,David Koh,12:03
