postComment,postCommentAuthor,postCommentTime
Hello Miko &amp; Team!!,Yvonne Leong,0:44
"BIG FISHES!!!</div><div dir=""auto"" style=""text-align: start;"">WILD CAUGHT EMPURAU 600-900G/ PCS @$39.90</div><div dir=""auto"" style=""text-align: start;"">Comment「EMP399+1」below to join the Sale",OceanStar Seafood,0:55
"OSS 早安 奶美美 早安 <span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""✌️"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/te2/2/16/270c.png"" width=""16""/></span>",Jack Daniel,0:59
PN+1,Eva Sek,1:00:44
"LAST 2 SET!!!!</div><div dir=""auto"" style=""text-align: start;"">2 X WILD CAUGHT BLUE TAIL PRAWN 500G/ PORTION @ $18.80</div><div dir=""auto"" style=""text-align: start;"">Comment「BTP188+1」below to join the Sale",OceanStar Seafood,1:00:56
"2 X WILD CAUGHT ANG KA 500G/ POR @$24.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WAK+1」below to join the Sale.",OceanStar Seafood,1:01:12
"2 X TIGER PRAWN 500G/ PORTION @ $19.90</div><div dir=""auto"" style=""text-align: start;"">Comment「TP199+1」below to join the Sale.",OceanStar Seafood,1:01:23
u ask lisan to come in 11am leh hahaha,Winnie Wu,1:01:29
"ORGANIC COOKED SHRIMP 31-40PCS/ PKT @$ 18.80</div><div dir=""auto"" style=""text-align: start;"">Comment「SCP+1」below to join the Sale",OceanStar Seafood,1:02:33
Her fb name difficult to tag her hahaha,Winnie Wu,1:02:57
BBt+1,Eva Sek,1:04:00
SCP+1,Catherine Gan-Chua,1:04:06
"AUS MELTIQUE BEEF STEAK 200G+-/ PCS @$11.11</div><div dir=""auto"" style=""text-align: start;"">Comment「AMB+1」below to join the Sale",OceanStar Seafood,1:04:10
"BALAI THREADFIN WHOL 2.4-2.8KG/ PCS @$78.00</div><div dir=""auto"" style=""text-align: start;"">Comment「BTW78+1」below to join the Sale",OceanStar Seafood,1:04:30
"BALAI THREADFIN WHOLE 5.5-6.0 KG/ PCS @$168.00</div><div dir=""auto"" style=""text-align: start;"">Comment「BTW168+1」below to join the Sale",OceanStar Seafood,1:04:45
AMB+2,Serene Chia,1:05:05
"MACKEREL WHOLE 500-600G/ PCS @$9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「MAC99+1」below to join the Sale",OceanStar Seafood,1:05:05
"2 X YELLOW CROAKER 400-450G/ PCS @$22.00</div><div dir=""auto"" style=""text-align: start;"">Comment「YC+1」below to join the Sale",OceanStar Seafood,1:05:21
"HOKKAIDO SCALLOP 1KG / PKT @ $28.00</div><div dir=""auto"" style=""text-align: start;"">Comment「HS+1」below to join the Sale",OceanStar Seafood,1:05:48
"2 X MALA FLOWER CLAM 500G/ PKT @ $ 9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「MFC+1」below to join the Sale",OceanStar Seafood,1:06:00
"2 X KOREAN FLOWER CLAM 500G/ PKT @$8.00</div><div dir=""auto"" style=""text-align: start;"">Comment「KFC+1」below to join the Sale",OceanStar Seafood,1:06:13
Morning OSS ,Jennifer Quek,1:07
"TUNG SAN SEAFOOD SOYA SAUCE / BOT@ $4.90</div><div dir=""auto"" style=""text-align: start;"">Comment「SOYA+1」below to join the Sale",OceanStar Seafood,1:07:13
Do you have any pau?,Eva Sek,1:08:12
Tried before ,Eva Sek,1:08:40
This one very nice,き リーサン,1:08:47
"Tung san has many new products you may consider to sell for them <span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""🤔"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/td3/2/16/1f914.png"" width=""16""/></span> ",Jack Daniel,1:08:49
"WILD CAUGHT EMPURAU 600-900G/ PCS @$39.90</div><div dir=""auto"" style=""text-align: start;"">Comment「EMP399+1」below to join the Sale",OceanStar Seafood,1:09
What’s the code for the pau? ,Eva Sek,1:09:21
KBP+1,Violet Yap,1:09:48
"KONG BAK PAO 4 PCS / PKT @$ 5.90</div><div dir=""auto"" style=""text-align: start;"">Comment「KBP+1」below to join the Sale",OceanStar Seafood,1:10:04
Kbp+2,Eva Sek,1:10:16
"JAPAN APPLE JUICE 1L @$12.90</div><div dir=""auto"" style=""text-align: start;"">Comment「JA+1」below to join the Sale.",OceanStar Seafood,1:10:19
"CHOCO JAPAN HOKKAIDO CREPE CAKE 4 PCS/ PKT @$13.90</div><div dir=""auto"" style=""text-align: start;"">Comment「CCL+1」below to join the Sale.",OceanStar Seafood,1:10:30
"STRAWBERRY JAPAN HOKKAIDO CREPE CAKE 4 PCS/ PKT @$13.90</div><div dir=""auto"" style=""text-align: start;"">Comment「SBY+1」below to join the Sale.",OceanStar Seafood,1:10:39
"VANILA JAPAN HOKKAIDO CREPE CAKE 4 PCS/ PKT @$13.90</div><div dir=""auto"" style=""text-align: start;"">Comment「VNL+1」below to join the Sale.",OceanStar Seafood,1:10:47
"MATCHA JAPAN HOKKAIDO CREPE CAKE 4 PCS/ PKT @$13.90</div><div dir=""auto"" style=""text-align: start;"">Comment「MCA+1」below to join the Sale.",OceanStar Seafood,1:10:55
"2 X AUTHENTIC THAI MOO PING 5 PCS / PKT @$11.11</div><div dir=""auto"" style=""text-align: start;"">Comment「TMP+1」below to join the Sale.",OceanStar Seafood,1:11:02
What’s the red bean crepe code? ,Eva Sek,1:11:16
"WILD CAUGHT EMPURAU 600-900G/ PCS @$39.90</div><div dir=""auto"" style=""text-align: start;"">Comment「EMP399+1」below to join the Sale",OceanStar Seafood,1:12
Mca+1,Eva Sek,1:12:02
U green tea la no need motcha,Winnie Wu,1:12:04
Tmp+1,Eva Sek,1:12:26
Today many pple at work . ,Stella Lim,1:13:02
Ok cya,Jack Daniel,1:13:12
Lena come and sing the squid game song ,Stella Lim,1:13:16
bye! ,Stella Lim,1:13:52
"PREMIUM GRADE SALMON 2.2-2.4 KG/ PCS @$58.80</div><div dir=""auto"" style=""text-align: start;"">Comment「SS588+1」below to join the Sale",OceanStar Seafood,1:32
Hello,Joanne Koh,1:33
"BALAI THREADFIN WHOL 2.4-2.8KG/ PCS @$78.00</div><div dir=""auto"" style=""text-align: start;"">Comment「BTW78+1」below to join the Sale",OceanStar Seafood,1:41
"BALAI THREADFIN WHOLE 5.5-6.0 KG/ PCS @$168.00</div><div dir=""auto"" style=""text-align: start;"">Comment「BTW168+1」below to join the Sale",OceanStar Seafood,1:51
Hi Morning,Yong Liang,1:52
OSS,Yvonne Leong,2:09
How much the prawn?,Teik Hang,2:14
OSS,Yvonne Leong,2:15
"MACKEREL WHOLE 500-600G/ PCS @$9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「MAC99+1」below to join the Sale",OceanStar Seafood,2:46
"SALMON TROUT WHOLE 4.0-4.3 KG/ PCS @$108.00</div><div dir=""auto"" style=""text-align: start;"">Comment「STW+1」below to join the Sale",OceanStar Seafood,3:16
How much is cuttley,Joanne Koh,3:20
Cuttlefish,Joanne Koh,3:25
"RED SNAPPER WHOLE 1.7-1.9 KG/ PCS @$33.33</div><div dir=""auto"" style=""text-align: start;"">Comment「RS33+1」below to join the Sale",OceanStar Seafood,3:28
"WILD BARRAMUNDI WHOLE 3.5-3.9 KG/ PCS @ $49.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WB+1」below to join the Sale",OceanStar Seafood,3:35
"Good morning Miko, admin and everyone ",Jane Wong,3:36
"<span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 k7cz35w2 bsnbvmp4""><img alt=""🤦🏻‍♀️"" height=""32"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/2/32/1f926_1f3fb_200d_2640.png"" width=""32""/></span><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 k7cz35w2 bsnbvmp4""><img alt=""🤦🏻‍♀️"" height=""32"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t17/2/32/1f926_1f3fb_200d_2640.png"" width=""32""/></span>",Joanne Koh,3:39
"<span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 k7cz35w2 bsnbvmp4""><img alt=""😅"" height=""32"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tac/2/32/1f605.png"" width=""32""/></span><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 k7cz35w2 bsnbvmp4""><img alt=""😅"" height=""32"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tac/2/32/1f605.png"" width=""32""/></span>",Joanne Koh,3:43
"PROCESS CUTTLEFISH 500G+-/ PCS@$8.00</div><div dir=""auto"" style=""text-align: start;"">Comment「PC+1」below to join the Sale.",OceanStar Seafood,3:49
"WILD BARRAMUNDI WHOLE 3.5-3.9 KG/ PCS @ $49.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WB+1」below to join the Sale",OceanStar Seafood,4:03
"WILD GROUPER WHOLE 2.2-2.6 KG/ PCS @$39.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WG399+1」below to join the Sale",OceanStar Seafood,4:10
PC+1,Joanne Koh,4:13
"RED GROUPER WHOLE 1.1-1.3KG / PCS @ $35.00</div><div dir=""auto"" style=""text-align: start;"">Comment「RG35+1」below to join the Sale",OceanStar Seafood,4:19
Ohaiyo miko n team,Winnie Wu,4:22
"Goodnight <span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""😴"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t4e/2/16/1f634.png"" width=""16""/></span> ",Jane Wong,4:27
"RED GROUPER WHOLE 1.7-1.9 KG/ PCS @$58.00</div><div dir=""auto"" style=""text-align: start;"">Comment「RG58+1」below to join the Sale",OceanStar Seafood,4:35
"RED GROUPER 2.8-3.0 KG/ PCS @$88.00</div><div dir=""auto"" style=""text-align: start;"">Comment「RG88+1」below to join the Sale",OceanStar Seafood,4:46
"BATANG WHOLE 2.7-2.9 KG / PCS @ $78.00</div><div dir=""auto"" style=""text-align: start;"">Comment「BT78+1」below to join the Sale.",OceanStar Seafood,4:56
"Hello 陈甜甜, sugar sis and sugar bro.</div><div dir=""auto"" style=""text-align: start;"">Bye bye 陈甜甜, sugar sis and sugar bro. Today busy day for me. Finally back in office. No time to watch. Have a good sales!",Fabian Low,5:02
LllllllllllNnnnnnnSsssssDdddoneeeeeeeeeeee,Patrick Ong,5:02
"Gd morning ppl <span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""🖐🏻"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfe/2/16/1f590_1f3fb.png"" width=""16""/></span><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""🖐🏻"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfe/2/16/1f590_1f3fb.png"" width=""16""/></span><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img alt=""🖐🏻"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfe/2/16/1f590_1f3fb.png"" width=""16""/></span>",Patrick Ong,5:11
share share liao ,Patrick Ong,5:20
Batang no promotion? ,Jane Wong,5:27
"LAST PCS!!!!</div><div dir=""auto"" style=""text-align: start;"">CHINESE POMFRET 1.1-1.3 KG/ PCS @$55.00</div><div dir=""auto"" style=""text-align: start;"">Comment「CP55+1」below to join the Sale",OceanStar Seafood,5:58
"CHINESE POMFRET 700-800G/ PCS @$32.00</div><div dir=""auto"" style=""text-align: start;"">Comment「CP32+1」below to join the Sale",OceanStar Seafood,6:40
"CHINESE POMFRET 500-600G/ PCS @$22.00  </div><div dir=""auto"" style=""text-align: start;"">Comment「CP22+1」below to join the Sale",OceanStar Seafood,6:53
"2 X CHINESE POMFRET 250-300G/ PCS @$14.00</div><div dir=""auto"" style=""text-align: start;"">Comment「CP14+1」below to join the Sale",OceanStar Seafood,7:07
"2 X BABY CHINESE POMFRET 450G+-/ PKT @$11.11</div><div dir=""auto"" style=""text-align: start;"">Comment「BCP+1」below to join the Sale.",OceanStar Seafood,7:20
"MUST GRAB!!!! </div><div dir=""auto"" style=""text-align: start;"">3 X BATANG SOUP SLICED 300G/ PKT @$24.00</div><div dir=""auto"" style=""text-align: start;"">Comment「BSS+1」below to join the Sale",OceanStar Seafood,7:41
