postComment,postCommentAuthor,postCommentTime
Gd mrg to u miko,Doris Pay,0:44
Oss,Eve Kang,0:46
Oss mrg,Samuel Goh,0:48
Lns,Doris Pay,0:51
LNS ,Jennie Gan,0:55
Oss,Doris Pay,0:58
"So sorry, sold out le",OceanStar Seafood,1:00:23
"2 X KUNNING 500G/ PKT @$11.90</div><div dir=""auto"" style=""text-align: start;"">Comment「KN119+1」below to join the Sale.",OceanStar Seafood,1:00:33
PC+2,웬디,1:00:36
Thx,Fabian Low,1:01:06
TMP+1,웬디,1:01:28
"2 X BABY CHINESE POMFRET 450G+-/ PKT @$11.11</div><div dir=""auto"" style=""text-align: start;"">Comment「BCP+1」below to join the Sale.",OceanStar Seafood,1:02:01
KN119+1,웬디,1:02:10
"3 X IQF CHICKEN CUBE 300G /PKT@ $9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「CTM+1」below to join the Sale",OceanStar Seafood,1:02:16
"3 X IQF PRIME RIBS 500G+- / P @ $21.90</div><div dir=""auto"" style=""text-align: start;"">Comment「PR+1」below to join the Sale",OceanStar Seafood,1:02:29
"2 X IQF CHICKEN MID JOINT 450G+-/ P@ $9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「MJ+1」below to join the Sale",OceanStar Seafood,1:02:38
"2 X KASU RABBIT FISH 500G+-/PKT @ $18.00</div><div dir=""auto"" style=""text-align: start;"">Comment「RB18+1」below to join the Sale",OceanStar Seafood,1:03:14
BCP+1,웬디,1:03:33
Lunnnnnnn,Clarice Goh,1:03:51
"2 X BABY CHINESE POMFRET 450G+-/ PKT @$11.11</div><div dir=""auto"" style=""text-align: start;"">Comment「BCP+1」below to join the Sale.",OceanStar Seafood,1:03:52
"2 X WILD GROUPER FILLET 300-350G/ PCS @$19.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WGF+1」below to join the Sale",OceanStar Seafood,1:04:01
Wgf+1,Fabian Low,1:04:23
"MACKEREL WHOLE 500-600G/ PCS @$9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「MAC99+1」below to join the Sale",OceanStar Seafood,1:04:55
"WILD GROUPER TAIL PORTION 600-700G/ PCS @$18.00</div><div dir=""auto"" style=""text-align: start;"">Comment「WGT+1」below to join the Sale",OceanStar Seafood,1:05:05
"WILD GROUPER HEAD 1.0-1.3 KG/ PCS @$12.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WGH+1」below to join the Sale",OceanStar Seafood,1:06:15
morning mc &amp; oss...,Del Del,1:06:39
"wah the tail so big, can use to big ppl...",Del Del,1:06:55
Good morning miko and OSS team ,Jennie Gan,1:07
"BIG FISHES!!!</div><div dir=""auto"" style=""text-align: start;"">WILD CAUGHT EMPURAU 600-900G/ PCS @$39.90</div><div dir=""auto"" style=""text-align: start;"">Comment「EMP399+1」below to join the Sale",OceanStar Seafood,1:07
busy lah.,Del Del,1:07:09
"3 X FLOWER GROUPER 250-350G/ PCS @$9.90</div><div dir=""auto"" style=""text-align: start;"">Comment「FG+1」below to join the Sale",OceanStar Seafood,1:07:33
"WILD GROUPER HEAD 1.0-1.3 KG/ PCS @$12.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WGH+1」below to join the Sale",OceanStar Seafood,1:08:01
"2 X WILD GROUPER FILLET 300-350G/ PCS @$19.90</div><div dir=""auto"" style=""text-align: start;"">Comment「WGF+1」below to join the Sale",OceanStar Seafood,1:08:12
"2 X BABY LEATHER JACKET 450G+-/ PKT @$15.90</div><div dir=""auto"" style=""text-align: start;"">Comment「BLJ+1」below to join the Sale",OceanStar Seafood,1:08:27
"LAST 4 SET!!!</div><div dir=""auto"" style=""text-align: start;"">2 X WILD BARRAMUNDI 450-600G/ PCS @$11.11</div><div dir=""auto"" style=""text-align: start;"">Comment「WB11+1」below to join the Sale",OceanStar Seafood,1:08:49
"3 X SALMON TROUT FILLET 300-350G/ PCS @$36.00</div><div dir=""auto"" style=""text-align: start;"">Comment「STF+1」below to join the Sale.",OceanStar Seafood,1:09:35
"BALAI THREADFIN FILLET 300-350G/PKT @$29.90</div><div dir=""auto"" style=""text-align: start;"">Comment「BTF+1」below to join the Sale.",OceanStar Seafood,1:09:44
"2 X RED GROUPER FILLET 300-350G / PCS @ $29.90</div><div dir=""auto"" style=""text-align: start;"">Comment「RGF+1」below to join the Sale.",OceanStar Seafood,1:09:54
"ah miko, wang bu liao have",Ja Ja,1:10:02
"ORGANIC COOKED SHRIMP 31-40PCS/ PKT @$ 18.80</div><div dir=""auto"" style=""text-align: start;"">Comment「SCP+1」below to join the Sale.",OceanStar Seafood,1:10:06
I still here leh ,Fabian Low,1:10:20
"WILD CAUGHT EMPURAU 600-900G/ PCS @$39.90</div><div dir=""auto"" style=""text-align: start;"">Comment「EMP399+1」below to join the Sale",OceanStar Seafood,1:10:30
Later I ask... Confirm you beat die me.,Fabian Low,1:10:36
Who dare not to hiu u,Winnie Wu,1:10:53
1+Buaycai ,Fabian Low,1:11:15
Wait ah. I go get mirror for you.,Fabian Low,1:11:26
Miko do you hv the fish sandwich ?,Anna Yong,1:11:32
wang bu liao got big one,Ja Ja,1:11:38
Ok thks.,Anna Yong,1:11:53
Threadfin tail,웬디,1:12:01
last week my fridge no place to put ma,Ja Ja,1:12:10
too small la,Ja Ja,1:12:53
